ce_id	parent_id	level	short_name	description	stage_id	sort_order	phase	node_class
B01-Land		1	Land	Land acquisition & assemblage	Build	1	acquisition	system
B01a-Land acquisition	B01-Land	2	Land acquisition	Purchasing property	Build	1	acquisition	system
B01a01-Brokerage	B01a-Land acquisition	3	Brokerage	Real estate broker services	Build	1	acquisition	system
B01a01a-Commission	B01a01-Brokerage	4	Commission	Broker fees	Build	1	acquisition	system
B01a02-Due diligence	B01a-Land acquisition	3	Due diligence	Pre-purchase investigation	Build	2	acquisition	system
B01a02a-Feasibility	B01a02-Due diligence	4	Feasibility	Feasibility analysis	Build	1	acquisition	system
B01a03-Legal	B01a-Land acquisition	3	Legal	Purchase legal services	Build	3	acquisition	system
B01a03a-Closing costs	B01a03-Legal	4	Closing costs	Title and escrow fees	Build	1	acquisition	system
B01a04-Parcel purchase	B01a-Land acquisition	3	Parcel purchase	Land purchase costs	Build	4	acquisition	system
B01a04a-Option premium	B01a04-Parcel purchase	4	Option premium	Option to purchase fee	Build	1	acquisition	system
B01a04b-Purchase price	B01a04-Parcel purchase	4	Purchase price	Land purchase amount	Build	2	acquisition	system
B01b-Land assembly	B01-Land	2	Land assembly	Combining multiple parcels	Build	2	acquisition	system
B01b01-Easements	B01b-Land assembly	3	Easements	Access rights acquisition	Build	1	acquisition	system
B01b01a-Acquisition	B01b01-Easements	4	Acquisition	Easement purchase	Build	1	acquisition	system
B01b02-Multiple parcels	B01b-Land assembly	3	Multiple parcels	Multi-parcel assembly	Build	2	acquisition	system
B01b02a-Assemblage premium	B01b02-Multiple parcels	4	Assemblage premium	Multi-parcel premium	Build	1	acquisition	system
B02-PreDev		1	PreDev	Pre-development, entitlement, and approvals	Build	2	entitlement	system
B02e-Engineering studies	B02-PreDev	2	Engineering studies	Preliminary engineering	Build	5	entitlement	system
B02e01-Civil preliminary	B02e-Engineering studies	3	Civil preliminary	Preliminary site engineering	Build	1	entitlement	system
B02e02-Drainage study	B02e-Engineering studies	3	Drainage study	Stormwater analysis	Build	2	entitlement	system
B02e03-Traffic study	B02e-Engineering studies	3	Traffic study	Traffic impact analysis	Build	3	entitlement	system
B02c-Environmental	B02-PreDev	2	Environmental	Environmental assessments	Build	3	entitlement	system
B02c03-Endangered species	B02c-Environmental	3	Endangered species	Wildlife habitat assessment	Build	3	entitlement	system
B02c01-Phase I ESA	B02c-Environmental	3	Phase I ESA	Environmental records review	Build	1	entitlement	system
B02c02-Phase II ESA	B02c-Environmental	3	Phase II ESA	Soil/groundwater sampling	Build	2	entitlement	system
B02c04-Wetland delineation	B02c-Environmental	3	Wetland delineation	Wetland boundary mapping	Build	4	entitlement	system
B02b-Geotechnical	B02-PreDev	2	Geotechnical	Soil and subsurface analysis	Build	2	entitlement	system
B02b02-Geotechnical report	B02b-Geotechnical	3	Geotechnical report	Foundation recommendations	Build	2	entitlement	system
B02b01-Soil investigation	B02b-Geotechnical	3	Soil investigation	Soil boring and testing	Build	1	entitlement	system
B02f-Legal	B02-PreDev	2	Legal	Pre-development legal	Build	6	entitlement	system
B02f01-Entitlement counsel	B02f-Legal	3	Entitlement counsel	Approval process attorney	Build	1	entitlement	system
